Date,Forecasted_Volume,Forecasted_Volume_Lower,Forecasted_Volume_Upper,Forecasted_Payout,Forecasted_Payout_Lower,Forecasted_Payout_Upper,Forecasted_Fraud_Cases,Forecasted_Fraud_Cases_Lower,Forecasted_Fraud_Cases_Upper
2026-02-06,1.33,0.0,3.22,242318.91,0.0,829646.85,0.23,0.0,1.08
2026-02-07,1.47,0.0,3.36,267856.91,0.0,855196.72,0.25,0.0,1.09
2026-02-08,1.33,0.0,3.22,271719.34,0.0,859071.03,0.2,0.0,1.04
2026-02-09,1.41,0.0,3.3,261911.29,0.0,849455.65,0.18,0.0,1.02
2026-02-10,1.18,0.0,3.07,218003.5,0.0,805559.77,0.14,0.0,0.99
2026-02-11,1.27,0.0,3.16,231382.11,0.0,818950.67,0.15,0.0,0.99
2026-02-12,1.48,0.0,3.37,300230.08,0.0,887810.93,0.27,0.0,1.11
2026-02-13,1.33,0.0,3.22,242551.14,0.0,830144.33,0.23,0.0,1.07
2026-02-14,1.47,0.0,3.36,268089.14,0.0,855694.61,0.25,0.0,1.09
2026-02-15,1.33,0.0,3.22,271951.57,0.0,859569.34,0.19,0.0,1.04
2026-02-16,1.41,0.0,3.3,262143.52,0.0,849955.55,0.18,0.0,1.02
2026-02-17,1.18,0.0,3.07,218235.74,0.0,806060.08,0.14,0.0,0.99
2026-02-18,1.27,0.0,3.16,231614.34,0.0,819451.4,0.14,0.0,0.99
2026-02-19,1.48,0.0,3.37,300462.31,0.0,888312.09,0.27,0.0,1.11
2026-02-20,1.33,0.0,3.22,242783.38,0.0,830645.91,0.23,0.0,1.07
2026-02-21,1.47,0.0,3.36,268321.37,0.0,856196.62,0.25,0.0,1.09
2026-02-22,1.33,0.0,3.22,272183.8,0.0,860071.77,0.19,0.0,1.04
2026-02-23,1.41,0.0,3.3,262375.75,0.0,850459.58,0.18,0.0,1.02
2026-02-24,1.18,0.0,3.07,218467.97,0.0,806564.53,0.14,0.0,0.99
2026-02-25,1.27,0.0,3.16,231846.57,0.0,819956.28,0.14,0.0,0.99
2026-02-26,1.48,0.0,3.37,300694.54,0.0,888817.4,0.27,0.0,1.11
2026-02-27,1.33,0.0,3.22,243015.61,0.0,831151.65,0.23,0.0,1.07
2026-02-28,1.47,0.0,3.36,268553.6,0.0,856702.79,0.25,0.0,1.09
2026-03-01,1.33,0.0,3.22,272416.03,0.0,860578.36,0.19,0.0,1.04
2026-03-02,1.41,0.0,3.3,262607.98,0.0,850967.78,0.18,0.0,1.02
2026-03-03,1.18,0.0,3.07,218700.2,0.0,807073.17,0.14,0.0,0.99
2026-03-04,1.27,0.0,3.16,232078.8,0.0,820465.35,0.14,0.0,0.99
2026-03-05,1.48,0.0,3.37,300926.77,0.0,889326.9,0.27,0.0,1.11
2026-03-06,1.33,0.0,3.22,243247.84,0.0,831661.59,0.23,0.0,1.07
2026-03-07,1.47,0.0,3.36,268785.83,0.0,857213.16,0.25,0.0,1.09
2026-03-08,1.33,0.0,3.22,272648.27,0.0,861089.17,0.19,0.0,1.04
2026-03-09,1.41,0.0,3.3,262840.21,0.0,851480.2,0.18,0.0,1.02
2026-03-10,1.18,0.0,3.07,218932.43,0.0,807586.02,0.14,0.0,0.98
2026-03-11,1.27,0.0,3.16,232311.03,0.0,820978.65,0.14,0.0,0.99
2026-03-12,1.47,0.0,3.37,301159.0,0.0,889840.64,0.27,0.0,1.11
2026-03-13,1.33,0.0,3.22,243480.07,0.0,832175.78,0.23,0.0,1.07
2026-03-14,1.47,0.0,3.36,269018.06,0.0,857727.79,0.25,0.0,1.09
2026-03-15,1.33,0.0,3.22,272880.5,0.0,861604.24,0.19,0.0,1.04
2026-03-16,1.41,0.0,3.3,263072.44,0.0,851996.89,0.18,0.0,1.02
2026-03-17,1.18,0.0,3.07,219164.66,0.0,808103.15,0.14,0.0,0.98
2026-03-18,1.27,0.0,3.16,232543.26,0.0,821496.23,0.14,0.0,0.99
2026-03-19,1.47,0.0,3.37,301391.23,0.0,890358.66,0.27,0.0,1.11
2026-03-20,1.32,0.0,3.22,243712.3,0.0,832694.25,0.23,0.0,1.07
2026-03-21,1.47,0.0,3.36,269250.29,0.0,858246.72,0.25,0.0,1.09
